Lähdekansio;Tiedostonimi;Tunniste;Koko (KB);Luotu;Muokattu;Koko Tiedostopolku
Kesko vastaus 3.2.2026;Henkilötietojasi koskeva toimenpidepyyntö on käsitelty-tietosuojapalvelu@kesko.fi.txt;.txt;1.78;2026-03-22 23:38:54;2026-03-12 15:48:38;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Henkilötietojasi koskeva toimenpidepyyntö on käsitelty-tietosuojapalvelu@kesko.fi.txt
Kesko vastaus 3.2.2026;Huoltohistoria Excel.xlsx;.xlsx;33.46;2026-02-03 10:56:40;2026-02-03 10:56:42;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Huoltohistoria Excel.xlsx
Kesko vastaus 3.2.2026;image_breach.py;.py;2.71;2026-03-22 23:57:09;2026-03-22 23:58:03;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\image_breach.py
Kesko vastaus 3.2.2026;Johann ALi & Vastaus 3.jpeg;.jpeg;90.49;2026-02-07 11:11:18;2026-02-07 11:11:19;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Johann ALi & Vastaus 3.jpeg
Kesko vastaus 3.2.2026;Johanna Ali & vastaus 2.jpeg;.jpeg;102.91;2026-02-07 11:10:57;2026-02-07 11:10:58;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Johanna Ali & vastaus 2.jpeg
Kesko vastaus 3.2.2026;Johanna Ali & vastaus 20.1.2025.jpeg;.jpeg;78.5;2026-02-07 11:04:43;2026-02-07 11:04:44;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Johanna Ali & vastaus 20.1.2025.jpeg
Kesko vastaus 3.2.2026;K Auto Retail Oy asiakasrekisteri tietosuojaseloste.pdf;.pdf;240.77;2026-02-03 10:57:42;2026-02-03 10:57:44;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\K Auto Retail Oy asiakasrekisteri tietosuojaseloste.pdf
Kesko vastaus 3.2.2026;K-Auto Asiakasrekisteri tietosuojaseloste.pdf;.pdf;223.53;2026-02-03 10:56:55;2026-02-03 10:56:57;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\K-Auto Asiakasrekisteri tietosuojaseloste.pdf
Kesko vastaus 3.2.2026;K-Auto keskitetty asiakastietokanta tietosuojaseloste.pdf;.pdf;174.42;2026-02-03 10:57:30;2026-02-03 10:57:32;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\K-Auto keskitetty asiakastietokanta tietosuojaseloste.pdf
Kesko vastaus 3.2.2026;Kauppakirja Rami´s Auto.pdf;.pdf;114.46;2026-03-22 15:00:20;2026-03-22 15:00:22;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Kauppakirja Rami´s Auto.pdf
Kesko vastaus 3.2.2026;Kesko ja Harri Spolander viimeinen varoitusviesti.png;.png;261.63;2026-03-22 19:32:35;2026-03-22 19:32:36;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Kesko ja Harri Spolander viimeinen varoitusviesti.png
Kesko vastaus 3.2.2026;Kesko ja tietopyynnön vastaus 3 Helmikuuta.txt;.txt;4.12;2026-02-03 10:59:39;2026-02-03 10:59:40;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Kesko ja tietopyynnön vastaus 3 Helmikuuta.txt
Kesko vastaus 3.2.2026;korjaukseen liittyvä viestintä.pdf;.pdf;190.72;2026-03-22 23:38:54;2026-03-12 15:47:38;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\korjaukseen liittyvä viestintä.pdf
Kesko vastaus 3.2.2026;Kuva 1, korjauskustannus 45 000 1.3.2023 huollosta.png;.png;45.57;2026-02-04 15:50:36;2026-02-04 15:50:37;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Kuva 1, korjauskustannus 45 000 1.3.2023 huollosta.png
Kesko vastaus 3.2.2026;Kuva korjaamokeskustelusta.png;.png;1066.54;2026-03-22 23:38:54;2026-03-12 16:17:18;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Kuva korjaamokeskustelusta.png
Kesko vastaus 3.2.2026;kysymys takuun laajuudesta.pdf;.pdf;51.03;2026-03-22 23:38:54;2026-03-12 15:47:48;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\kysymys takuun laajuudesta.pdf
Kesko vastaus 3.2.2026;Lasku käsirahasta.pdf;.pdf;86.27;2026-03-22 15:00:07;2026-03-22 15:00:09;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Lasku käsirahasta.pdf
Kesko vastaus 3.2.2026;Markus Kaprio Koko CRM historia pdf.pdf;.pdf;6261.14;2026-03-22 23:38:55;2026-03-12 15:47:25;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Markus Kaprio Koko CRM historia pdf.pdf
Kesko vastaus 3.2.2026;MarkusKaprio_KeskoReklamaatio_4_8_2025.pdf;.pdf;634.15;2026-02-04 16:00:55;2026-02-04 16:00:56;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\MarkusKaprio_KeskoReklamaatio_4_8_2025.pdf
Kesko vastaus 3.2.2026;Master_Index.csv;.csv;118.28;2026-03-23 13:39:42;2026-03-23 13:44:39;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Master_Index.csv
Kesko vastaus 3.2.2026;Norrlands Bil ja Audi mobiili-appi korjaamon pihalla 10.16.27.jpeg;.jpeg;87.94;2026-03-23 10:17:20;2026-03-23 10:17:23;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Norrlands Bil ja Audi mobiili-appi korjaamon pihalla 10.16.27.jpeg
Kesko vastaus 3.2.2026;Norrlands Bil ja ohjattu vianetsintä + Pörhön ODIS osa 2.pdf;.pdf;103.96;2026-03-23 10:01:51;2026-03-23 10:01:54;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Norrlands Bil ja ohjattu vianetsintä + Pörhön ODIS osa 2.pdf
Kesko vastaus 3.2.2026;Norrlands Bil ja ohjattu vianetsintä + Pörhön ODIS.pdf;.pdf;967.6;2026-03-23 10:00:14;2026-03-23 10:00:16;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Norrlands Bil ja ohjattu vianetsintä + Pörhön ODIS.pdf
Kesko vastaus 3.2.2026;omega_scan.py;.py;2.01;2026-03-22 23:51:36;2026-03-22 23:51:36;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\omega_scan.py
Kesko vastaus 3.2.2026;Porho_Tietopyynto_Vastaus.pdf;.pdf;2.99;2026-03-22 14:36:33;2026-03-22 14:36:35;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Porho_Tietopyynto_Vastaus.pdf
Kesko vastaus 3.2.2026;PV - WAUZZZ4M4JD052978.pdf;.pdf;796.68;2026-03-18 14:53:53;2026-03-18 14:53:54;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\PV - WAUZZZ4M4JD052978.pdf
Kesko vastaus 3.2.2026;päätös.pdf;.pdf;7.94;2026-03-22 13:53:53;2026-03-22 13:53:55;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\päätös.pdf
Kesko vastaus 3.2.2026;PÖRHÖ ja testeri-mittaus 5.2.2025.jpg;.jpg;242.23;2026-02-04 15:49:28;2026-02-04 15:49:29;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\PÖRHÖ ja testeri-mittaus 5.2.2025.jpg
Kesko vastaus 3.2.2026;PÖRHÖ Tietopyyntö 27 Hel.pdf;.pdf;42.13;2026-02-04 15:57:13;2026-02-04 15:57:15;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\PÖRHÖ Tietopyyntö 27 Hel.pdf
Kesko vastaus 3.2.2026;Riitta Pörhö ja Pörhö harhautusviesti.png;.png;175.98;2026-03-22 19:23:15;2026-03-22 19:23:17;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Riitta Pörhö ja Pörhö harhautusviesti.png
Kesko vastaus 3.2.2026;RISKILIITE_syvapurkaus_AudiQ7.pdf;.pdf;3.35;2026-02-04 16:31:31;2026-02-04 16:31:32;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\RISKILIITE_syvapurkaus_AudiQ7.pdf
Kesko vastaus 3.2.2026;Santander Osamaksutiedot.pdf;.pdf;88.67;2026-03-22 14:59:38;2026-03-22 14:59:40;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Santander Osamaksutiedot.pdf
Kesko vastaus 3.2.2026;Santander Osamaksutiedot2.pdf;.pdf;143.52;2026-03-22 14:59:56;2026-03-22 14:59:58;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Santander Osamaksutiedot2.pdf
Kesko vastaus 3.2.2026;siirtopyyntö ajoneuvo Pörhö ja Ari Palosaari.pdf;.pdf;24.17;2026-03-22 23:38:55;2026-03-22 19:01:34;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\siirtopyyntö ajoneuvo Pörhö ja Ari Palosaari.pdf
Kesko vastaus 3.2.2026;Tarjous Rami´s auto, Pasanen.pdf;.pdf;171.72;2026-03-22 14:59:09;2026-03-22 14:59:11;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Tarjous Rami´s auto, Pasanen.pdf
Kesko vastaus 3.2.2026;Tietojen luovutus AUDI AG suomeen.png;.png;183.66;2026-03-22 20:03:56;2026-03-22 20:03:58;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Tietojen luovutus AUDI AG suomeen.png
Kesko vastaus 3.2.2026;Tietosuojaportaalin tietosuojaseloste.pdf;.pdf;163.56;2026-02-03 10:57:52;2026-02-03 10:57:54;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Tietosuojaportaalin tietosuojaseloste.pdf
Kesko vastaus 3.2.2026;token.pickle;.pickle;1.01;2026-03-22 23:31:28;2026-03-22 23:31:28;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\token.pickle
Kesko vastaus 3.2.2026;tuloste_virkaapu SANTANDER.pdf;.pdf;195.83;2026-03-22 15:09:25;2026-03-22 15:09:27;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\tuloste_virkaapu SANTANDER.pdf
Kesko vastaus 3.2.2026;Vastaus Pörhö Autoliike Oy 27.2.2025.pdf;.pdf;31.22;2026-03-22 23:38:55;2026-03-22 18:44:50;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Vastaus Pörhö Autoliike Oy 27.2.2025.pdf
Kesko vastaus 3.2.2026;XLS Opener Installer (1).exe;.exe;1086.06;2026-02-03 11:02:09;2026-02-03 11:02:10;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\XLS Opener Installer (1).exe
Kesko vastaus 3.2.2026;2022-02-24_13-58_Par_Re RZS-139 WAUZZZ4M4JD052978.eml;.eml;3.41;2026-03-23 13:43:46;2026-03-23 13:45:55;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2022-02-24_13-58_Par_Re RZS-139 WAUZZZ4M4JD052978.eml
Kesko vastaus 3.2.2026;2022-03-18_11-56_Par_Re RZS-139  WAUZZZ4M4JD052978.eml;.eml;45.76;2026-03-23 13:43:46;2026-03-23 13:45:55;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2022-03-18_11-56_Par_Re RZS-139  WAUZZZ4M4JD052978.eml
Kesko vastaus 3.2.2026;2022-03-22_16-51_Par_Fwd VS RZS-139  WAUZZZ4M4JD052978.eml;.eml;10.71;2026-03-23 13:43:46;2026-03-23 13:45:54;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2022-03-22_16-51_Par_Fwd VS RZS-139  WAUZZZ4M4JD052978.eml
Kesko vastaus 3.2.2026;2022-03-23_06-43_Par_Re VS RZS-139  WAUZZZ4M4JD052978.eml;.eml;601.43;2026-03-23 13:43:46;2026-03-23 13:45:54;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2022-03-23_06-43_Par_Re VS RZS-139  WAUZZZ4M4JD052978.eml
Kesko vastaus 3.2.2026;2022-03-23_16-31_Par_Fwd VS VS RZS-139  WAUZZZ4M4JD052978.eml;.eml;23.12;2026-03-23 13:43:46;2026-03-23 13:45:54;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2022-03-23_16-31_Par_Fwd VS VS RZS-139  WAUZZZ4M4JD052978.eml
Kesko vastaus 3.2.2026;2022-03-23_17-02_Par_Re Fwd VS VS RZS-139  WAUZZZ4M4JD052978.eml;.eml;23.93;2026-03-23 13:43:46;2026-03-23 13:45:54;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2022-03-23_17-02_Par_Re Fwd VS VS RZS-139  WAUZZZ4M4JD052978.eml
Kesko vastaus 3.2.2026;2022-03-23_17-04_Par_Re VS VS RZS-139  WAUZZZ4M4JD052978.eml;.eml;24.04;2026-03-23 13:43:46;2026-03-23 13:45:54;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2022-03-23_17-04_Par_Re VS VS RZS-139  WAUZZZ4M4JD052978.eml
Kesko vastaus 3.2.2026;2022-03-28_10-23_Par_Fwd VS VS VS RZS-139  WAUZZZ4M4JD052978.eml;.eml;32.79;2026-03-23 13:43:46;2026-03-23 13:45:54;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2022-03-28_10-23_Par_Fwd VS VS VS RZS-139  WAUZZZ4M4JD052978.eml
Kesko vastaus 3.2.2026;2023-11-08_16-02_Par_Re Konsulttivastuu vai varallisuusvastuu vai ei ku.eml;.eml;1232.34;2026-03-23 13:43:57;2026-03-23 13:45:53;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2023-11-08_16-02_Par_Re Konsulttivastuu vai varallisuusvastuu vai ei ku.eml
Kesko vastaus 3.2.2026;2023-12-18_11-31_Par_Upcoming Scrum.org Webcasts.eml;.eml;51.04;2026-03-23 13:42:59;2026-03-23 13:43:06;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2023-12-18_11-31_Par_Upcoming Scrum.org Webcasts.eml
Kesko vastaus 3.2.2026;2024-02-26_18-14_Par_Re Rahoitussopimus.eml;.eml;2.24;2026-03-23 13:44:05;2026-03-23 13:45:53;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2024-02-26_18-14_Par_Re Rahoitussopimus.eml
Kesko vastaus 3.2.2026;2024-11-27_14-57_Par_Re Laskusta 8279795.eml;.eml;6.37;2026-03-23 13:44:07;2026-03-23 13:45:53;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2024-11-27_14-57_Par_Re Laskusta 8279795.eml
Kesko vastaus 3.2.2026;2024-11-27_15-07_Par_Re Laskusta 8279795.eml;.eml;9.64;2026-03-23 13:44:07;2026-03-23 13:45:53;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2024-11-27_15-07_Par_Re Laskusta 8279795.eml
Kesko vastaus 3.2.2026;2024-11-27_15-23_Par_Re Laskusta 8279795.eml;.eml;13.05;2026-03-23 13:44:07;2026-03-23 13:45:53;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2024-11-27_15-23_Par_Re Laskusta 8279795.eml
Kesko vastaus 3.2.2026;2024-11-28_10-17_Par_Re Laskusta 8279795.eml;.eml;13.32;2026-03-23 13:44:07;2026-03-23 13:45:53;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2024-11-28_10-17_Par_Re Laskusta 8279795.eml
Kesko vastaus 3.2.2026;2024-11-28_10-26_Par_Re Laskusta 8279795.eml;.eml;16.82;2026-03-23 13:44:07;2026-03-23 13:45:53;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2024-11-28_10-26_Par_Re Laskusta 8279795.eml
Kesko vastaus 3.2.2026;2024-12-12_09-43_Par_Re Laskusta 8279795.eml;.eml;54.7;2026-03-23 13:44:07;2026-03-23 13:45:52;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2024-12-12_09-43_Par_Re Laskusta 8279795.eml
Kesko vastaus 3.2.2026;2024-12-12_18-11_Par_Re Laskusta 8279795.eml;.eml;66.36;2026-03-23 13:44:07;2026-03-23 13:45:52;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2024-12-12_18-11_Par_Re Laskusta 8279795.eml
Kesko vastaus 3.2.2026;2024-12-13_07-39_Par_Re Laskusta 8279795.eml;.eml;78.0;2026-03-23 13:44:07;2026-03-23 13:45:52;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2024-12-13_07-39_Par_Re Laskusta 8279795.eml
Kesko vastaus 3.2.2026;2024-12-13_10-22_Par_Re Laskusta 8279795.eml;.eml;27.53;2026-03-23 13:44:07;2026-03-23 13:45:52;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2024-12-13_10-22_Par_Re Laskusta 8279795.eml
Kesko vastaus 3.2.2026;2024-12-13_10-33_Par_Re Laskusta 8279795.eml;.eml;31.84;2026-03-23 13:44:07;2026-03-23 13:45:52;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2024-12-13_10-33_Par_Re Laskusta 8279795.eml
Kesko vastaus 3.2.2026;2025-01-16_17-18_Par_Reklamaatio Keminmaan Pörhön huollosta sekä laskus.eml;.eml;2031.03;2026-03-23 13:44:08;2026-03-23 13:45:52;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-01-16_17-18_Par_Reklamaatio Keminmaan Pörhön huollosta sekä laskus.eml
Kesko vastaus 3.2.2026;2025-01-17_15-35_Par_Re Reklamaatio.eml;.eml;6.65;2026-03-23 13:44:08;2026-03-23 13:45:52;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-01-17_15-35_Par_Re Reklamaatio.eml
Kesko vastaus 3.2.2026;2025-01-31_11-59_Par_Re Yhteystiedot reklamaatiota varten CRM0188039.eml;.eml;1.46;2026-03-23 13:44:08;2026-03-23 13:45:52;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-01-31_11-59_Par_Re Yhteystiedot reklamaatiota varten CRM0188039.eml
Kesko vastaus 3.2.2026;2025-02-05_17-04_Par_Letter of Complaint  Severe Manufacturing Defect a.eml;.eml;4.99;2026-03-23 13:44:09;2026-03-23 13:45:52;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-02-05_17-04_Par_Letter of Complaint  Severe Manufacturing Defect a.eml
Kesko vastaus 3.2.2026;2025-02-06_10-38_Par_Re Reklamaatio.eml;.eml;14.29;2026-03-23 13:44:09;2026-03-23 13:45:52;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-02-06_10-38_Par_Re Reklamaatio.eml
Kesko vastaus 3.2.2026;2025-02-11_11-08_Par_WAUZZZ4M4JD052978 CRM0188075.eml;.eml;29.94;2026-03-23 13:42:50;2026-03-23 13:43:11;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-02-11_11-08_Par_WAUZZZ4M4JD052978 CRM0188075.eml
Kesko vastaus 3.2.2026;2025-02-11_11-46_Par_VS Re WAUZZZ4M4JD052978 CRM0188075.eml;.eml;48.84;2026-03-23 13:42:50;2026-03-23 13:43:10;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-02-11_11-46_Par_VS Re WAUZZZ4M4JD052978 CRM0188075.eml
Kesko vastaus 3.2.2026;2025-02-11_12-19_Par_VS Re VS Re WAUZZZ4M4JD052978 CRM0188075.eml;.eml;70.86;2026-03-23 13:42:50;2026-03-23 13:43:10;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-02-11_12-19_Par_VS Re VS Re WAUZZZ4M4JD052978 CRM0188075.eml
Kesko vastaus 3.2.2026;2025-02-11_13-37_Par_Re WAUZZZ4M4JD052978 CRM0188075.eml;.eml;3.43;2026-03-23 13:44:09;2026-03-23 13:44:14;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-02-11_13-37_Par_Re WAUZZZ4M4JD052978 CRM0188075.eml
Kesko vastaus 3.2.2026;2025-02-11_14-02_Par_Re VS Re WAUZZZ4M4JD052978 CRM0188075.eml;.eml;10.62;2026-03-23 13:44:09;2026-03-23 13:44:13;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-02-11_14-02_Par_Re VS Re WAUZZZ4M4JD052978 CRM0188075.eml
Kesko vastaus 3.2.2026;2025-02-11_14-20_Par_Re VS Re VS Re WAUZZZ4M4JD052978 CRM0188075.eml;.eml;14.13;2026-03-23 13:44:09;2026-03-23 13:44:13;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-02-11_14-20_Par_Re VS Re VS Re WAUZZZ4M4JD052978 CRM0188075.eml
Kesko vastaus 3.2.2026;2025-02-11_15-27_Par_Re VS Re WAUZZZ4M4JD052978 CRM0188075.eml;.eml;14.62;2026-03-23 13:44:09;2026-03-23 13:44:13;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-02-11_15-27_Par_Re VS Re WAUZZZ4M4JD052978 CRM0188075.eml
Kesko vastaus 3.2.2026;2025-02-12_09-02_Par_VS Re VS Re WAUZZZ4M4JD052978 CRM0188075.eml;.eml;87.96;2026-03-23 13:42:50;2026-03-23 13:42:51;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-02-12_09-02_Par_VS Re VS Re WAUZZZ4M4JD052978 CRM0188075.eml
Kesko vastaus 3.2.2026;2025-02-12_09-31_Par_Re VS Re VS Re WAUZZZ4M4JD052978 CRM0188075.eml;.eml;61.7;2026-03-23 13:44:09;2026-03-23 13:44:13;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-02-12_09-31_Par_Re VS Re VS Re WAUZZZ4M4JD052978 CRM0188075.eml
Kesko vastaus 3.2.2026;2025-02-12_10-36_Par_VS Re VS Re VS Re WAUZZZ4M4JD052978 CRM0188075.eml;.eml;108.27;2026-03-23 13:42:50;2026-03-23 13:42:51;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-02-12_10-36_Par_VS Re VS Re VS Re WAUZZZ4M4JD052978 CRM0188075.eml
Kesko vastaus 3.2.2026;2025-02-12_13-12_Par_Re VS Re VS Re VS Re WAUZZZ4M4JD052978 CRM0188075.eml;.eml;24.87;2026-03-23 13:44:09;2026-03-23 13:44:13;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-02-12_13-12_Par_Re VS Re VS Re VS Re WAUZZZ4M4JD052978 CRM0188075.eml
